설문번호,그룹번호,설문문항번호,설문보기번호,설문보기
74,1,3,5,9급 이하 및 기타
74,1,4,1,5년 이하
74,1,4,2,6년~10년
74,1,4,3,11~15년
74,1,4,4,16년~20년
74,1,4,5,20년 이상
74,1,5,1,직무수행 능력향상
74,1,5,2,자기계발 및 공직관의 변화
74,1,5,3,교육이수시간(의무교육) 취득
74,1,5,4,심신의 재충전
74,1,5,5,기타
74,1,6,1,별 관심없이 듣기만 하였다
74,1,6,2,일부 참여하였다
74,1,6,3,적극 참여하였다
74,1,7,1,직접적으로 관련이 있다
74,1,7,2,간접적으로 관련이 있다
74,1,7,3,관련이 없다
74,1,8,1,매우그렇다
74,1,8,2,그렇다
74,1,8,3,보통이다
74,1,8,4,아니다
74,1,8,5,매우아니다
74,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
74,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
74,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
74,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
74,1,10,1,시 본청
74,1,10,2,구(근)
74,1,10,3,직속기관/사업소
74,1,10,4,기타(공사/ 공단 등)
74,5,1,1,매우만족
74,5,1,2,만족
74,5,1,3,보통
74,5,1,4,불만
74,5,1,5,매우불만
74,5,3,1,매우만족
74,5,3,2,만족
74,5,3,3,보통
74,5,3,4,불만
74,5,3,5,매우불만
74,5,4,1,매우만족
74,5,4,2,만족
74,5,4,3,보통
74,5,4,4,불만
74,5,4,5,매우불만
74,5,5,1,매우만족
74,5,5,2,만족
74,5,5,3,보통
74,5,5,4,불만
74,5,5,5,매우불만
74,5,6,1,매우만족
74,5,6,2,만족
74,5,6,3,보통
74,5,6,4,불만
74,5,6,5,매우불만
74,5,7,1,매우만족
74,5,7,2,만족
74,5,7,3,보통
74,5,7,4,불만
74,5,7,5,매우불만
74,5,9,1,매우만족
74,5,9,2,만족
74,5,9,3,보통
74,5,9,4,불만
74,5,9,5,매우불만
74,5,10,1,매우만족
74,5,10,2,만족
74,5,10,3,보통
74,5,10,4,불만
74,5,10,5,매우불만
74,5,12,1,매우만족
74,5,12,2,만족
74,5,12,3,보통
74,5,12,4,불만
74,5,12,5,매우불만
74,5,13,1,매우만족
74,5,13,2,만족
74,5,13,3,보통
74,5,13,4,불만
74,5,13,5,매우불만
74,5,14,1,매우만족
74,5,14,2,만족
74,5,14,3,보통
74,5,14,4,불만
74,5,14,5,매우불만
74,5,15,1,매우만족
74,5,15,2,만족
74,5,15,3,보통
74,5,15,4,불만
74,5,15,5,매우불만
78,1,1,1,매우만족
78,1,1,2,만족
78,1,1,3,보통
78,1,1,4,불만
78,1,1,5,매우불만
79,1,1,1,매우만족
79,1,1,2,만족
79,1,1,3,보통
79,1,1,4,불만
79,1,1,5,매우불만
86,1,1,1,매우만족
86,1,1,2,만족
86,1,1,3,보통
86,1,1,4,불만
86,1,1,5,매우불만
116,1,1,1,매우만족
116,1,1,2,만족
116,1,1,3,보통
116,1,1,4,불만
116,1,1,5,매우불만
120,1,1,1,매우만족
120,1,1,2,만족
120,1,1,3,보통
120,1,1,4,불만
120,1,1,5,매우불만
121,1,2,1,남
121,1,2,2,여
121,1,3,1,20대
121,1,3,2,30대
121,1,3,3,40대
121,1,3,4,50대
121,1,3,5,60대
121,1,4,1,5년 이하
121,1,4,2,6년~10년
121,1,4,3,11~15년
121,1,4,4,16년 이상
121,1,4,5,해당없음
121,1,5,1,직무수행 능력향상
121,1,5,2,자기계발 및 공직관의 변화
121,1,5,3,교육이수시간(의무교육) 취득
121,1,5,4,심신의 재충전
121,1,5,5,기타
121,1,6,1,별 관심없이 듣기만 하였다
121,1,6,2,일부 참여하였다
121,1,6,3,적극 참여하였다
121,1,7,1,직접적으로 관련이 있다
121,1,7,2,간접적으로 관련이 있다
121,1,7,3,관련이 없다
121,1,8,1,매우그렇다
121,1,8,2,그렇다
121,1,8,3,보통이다
121,1,8,4,아니다
121,1,8,5,매우아니다
121,1,9,1,사무직
121,1,9,2,전문직
121,1,9,3,자영업
121,1,9,4,기타
121,1,10,1,본 교육과정에 대해 알고 있고 유사한 교육에 참여한 적이 있다
121,1,10,2,본 교육과정에 대해 알고 있지만 유사한 교육에 참여한 적은 없다
121,1,10,3,본 교육과정에 대해 모르고 있지만 유사한 교육에 참여한 적은 있다
121,1,10,4,본 교육과정에 대해 모르고 있었고 유사한 교육에 참여한 적도 없다
121,5,1,1,매우만족
121,5,1,2,만족
121,5,1,3,보통
121,5,1,4,불만
121,5,1,5,매우불만
121,5,3,1,매우만족
121,5,3,2,만족
121,5,3,3,보통
121,5,3,4,불만
121,5,3,5,매우불만
121,5,4,1,매우만족
121,5,4,2,만족
121,5,4,3,보통
121,5,4,4,불만
121,5,4,5,매우불만
121,5,5,1,매우만족
121,5,5,2,만족
121,5,5,3,보통
121,5,5,4,불만
121,5,5,5,매우불만
121,5,6,1,매우만족
121,5,6,2,만족
121,5,6,3,보통
121,5,6,4,불만
121,5,6,5,매우불만
121,5,7,1,매우만족
121,5,7,2,만족
121,5,7,3,보통
121,5,7,4,불만
121,5,7,5,매우불만
121,5,9,1,매우만족
121,5,9,2,만족
121,5,9,3,보통
121,5,9,4,불만
121,5,9,5,매우불만
121,5,10,1,매우만족
121,5,10,2,만족
121,5,10,3,보통
121,5,10,4,불만
121,5,10,5,매우불만
121,5,12,1,매우만족
121,5,12,2,만족
121,5,12,3,보통
121,5,12,4,불만
121,5,12,5,매우불만
121,5,13,1,매우만족
121,5,13,2,만족
121,5,13,3,보통
121,5,13,4,불만
121,5,13,5,매우불만
121,5,14,1,매우만족
121,5,14,2,만족
121,5,14,3,보통
121,5,14,4,불만
121,5,14,5,매우불만
121,5,15,1,매우만족
121,5,15,2,만족
121,5,15,3,보통
121,5,15,4,불만
121,5,15,5,매우불만
122,1,1,1,매우만족
122,1,1,2,만족
122,1,1,3,보통
122,1,1,4,불만
122,1,1,5,매우불만
125,1,2,1,남
125,1,2,2,여
125,1,3,1,20대
125,1,3,2,30대
125,1,3,3,40대
125,1,3,4,50대
125,1,3,5,60대
125,1,4,1,5년 이하
125,1,4,2,6년~10년
125,1,4,3,11~15년
125,1,4,4,16년 이상
125,1,4,5,해당없음
125,1,5,1,직업과 관련있어서
125,1,5,2,관심사와 관련있어서
125,1,5,3,주변인의 권유
125,1,5,4,시정참여 활동에 필요한 지식 습득
125,1,5,5,기타
125,1,6,1,별 관심없이 듣기만 하였다
125,1,6,2,일부 참여하였다
125,1,6,3,적극 참여하였다
125,1,7,1,직접적으로 관련이 있다
125,1,7,2,간접적으로 관련이 있다
125,1,7,3,관련이 없다
125,1,8,1,매우그렇다
125,1,8,2,그렇다
125,1,8,3,보통이다
125,1,8,4,아니다
125,1,8,5,매우아니다
125,1,9,1,사무직
125,1,9,2,전문직
125,1,9,3,자영업
125,1,9,4,기타
125,1,10,1,본 교육과정에 대해 알고 있고 유사한 교육에 참여한 적이 있다
125,1,10,2,본 교육과정에 대해 알고 있지만 유사한 교육에 참여한 적은 없다
125,1,10,3,본 교육과정에 대해 모르고 있지만 유사한 교육에 참여한 적은 있다
125,1,10,4,본 교육과정에 대해 모르고 있었고 유사한 교육에 참여한 적도 없다
125,5,1,1,매우만족
125,5,1,2,만족
125,5,1,3,보통
125,5,1,4,불만
125,5,1,5,매우불만
125,5,3,1,매우만족
125,5,3,2,만족
125,5,3,3,보통
125,5,3,4,불만
125,5,3,5,매우불만
125,5,4,1,매우만족
125,5,4,2,만족
125,5,4,3,보통
125,5,4,4,불만
125,5,4,5,매우불만
125,5,5,1,매우만족
125,5,5,2,만족
125,5,5,3,보통
125,5,5,4,불만
125,5,5,5,매우불만
125,5,6,1,매우만족
125,5,6,2,만족
125,5,6,3,보통
125,5,6,4,불만
125,5,6,5,매우불만
125,5,7,1,매우만족
125,5,7,2,만족
125,5,7,3,보통
125,5,7,4,불만
125,5,7,5,매우불만
125,5,9,1,매우만족
125,5,9,2,만족
125,5,9,3,보통
125,5,9,4,불만
125,5,9,5,매우불만
125,5,10,1,매우만족
125,5,10,2,만족
125,5,10,3,보통
125,5,10,4,불만
125,5,10,5,매우불만
125,5,12,1,매우만족
125,5,12,2,만족
125,5,12,3,보통
125,5,12,4,불만
125,5,12,5,매우불만
125,5,13,1,매우만족
125,5,13,2,만족
125,5,13,3,보통
125,5,13,4,불만
125,5,13,5,매우불만
125,5,14,1,매우만족
125,5,14,2,만족
125,5,14,3,보통
125,5,14,4,불만
125,5,14,5,매우불만
125,5,15,1,매우만족
125,5,15,2,만족
125,5,15,3,보통
125,5,15,4,불만
125,5,15,5,매우불만
131,1,2,1,남
131,1,2,2,여
131,1,3,1,5급이상
131,1,3,2,6급(상당)
131,1,3,3,7급(상당)
131,1,3,4,8급
131,1,3,5,9급 이하 및 기타
131,1,4,1,5년 이하
131,1,4,2,6년~10년
131,1,4,3,11~15년
131,1,4,4,16년~20년
131,1,4,5,20년 이상
131,1,5,1,직무수행 능력향상
131,1,5,2,자기계발 및 공직관의 변화
131,1,5,3,교육이수시간(의무교육) 취득
131,1,5,4,심신의 재충전
131,1,5,5,기타
131,1,6,1,별 관심없이 듣기만 하였다
131,1,6,2,일부 참여하였다
131,1,6,3,적극 참여하였다
131,1,7,1,직접적으로 관련이 있다
131,1,7,2,간접적으로 관련이 있다
131,1,7,3,관련이 없다
131,1,8,1,매우그렇다
131,1,8,2,그렇다
131,1,8,3,보통이다
131,1,8,4,아니다
131,1,8,5,매우아니다
131,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
131,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
131,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
131,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
131,1,10,1,시 본청
131,1,10,2,구(근)
131,1,10,3,직속기관/사업소
131,1,10,4,기타(공사/ 공단 등)
131,5,1,1,매우만족
131,5,1,2,만족
131,5,1,3,보통
131,5,1,4,불만
131,5,1,5,매우불만
131,5,3,1,매우만족
131,5,3,2,만족
131,5,3,3,보통
131,5,3,4,불만
131,5,3,5,매우불만
131,5,4,1,매우만족
131,5,4,2,만족
131,5,4,3,보통
131,5,4,4,불만
131,5,4,5,매우불만
131,5,5,1,매우만족
131,5,5,2,만족
131,5,5,3,보통
131,5,5,4,불만
131,5,5,5,매우불만
131,5,6,1,매우만족
131,5,6,2,만족
131,5,6,3,보통
131,5,6,4,불만
131,5,6,5,매우불만
131,5,7,1,매우만족
131,5,7,2,만족
131,5,7,3,보통
131,5,7,4,불만
131,5,7,5,매우불만
131,5,9,1,매우만족
131,5,9,2,만족
131,5,9,3,보통
131,5,9,4,불만
131,5,9,5,매우불만
131,5,10,1,매우만족
131,5,10,2,만족
131,5,10,3,보통
131,5,10,4,불만
131,5,10,5,매우불만
131,5,12,1,매우만족
131,5,12,2,만족
131,5,12,3,보통
131,5,12,4,불만
131,5,12,5,매우불만
131,5,13,1,매우만족
131,5,13,2,만족
131,5,13,3,보통
131,5,13,4,불만
131,5,13,5,매우불만
131,5,14,1,매우만족
131,5,14,2,만족
131,5,14,3,보통
131,5,14,4,불만
131,5,14,5,매우불만
131,5,15,1,매우만족
131,5,15,2,만족
131,5,15,3,보통
131,5,15,4,불만
131,5,15,5,매우불만
132,1,1,1,매우만족
132,1,1,2,만족
132,1,1,3,보통
132,1,1,4,불만
132,1,1,5,매우불만
140,1,1,1,매우만족
140,1,1,2,만족
140,1,1,3,보통
140,1,1,4,불만
140,1,1,5,매우불만
144,1,1,1,매우만족
144,1,1,2,만족
144,1,1,3,보통
144,1,1,4,불만
144,1,1,5,매우불만
158,1,1,1,매우만족
158,1,1,2,만족
158,1,1,3,보통
158,1,1,4,불만
158,1,1,5,매우불만
159,1,2,1,남
159,1,2,2,여
159,1,3,1,5급이상
159,1,3,2,6급(상당)
159,1,3,3,7급(상당)
159,1,3,4,8급
159,1,3,5,9급 이하 및 기타
159,1,4,1,5년 이하
159,1,4,2,6년~10년
159,1,4,3,11~15년
159,1,4,4,16년~20년
159,1,4,5,20년 이상
159,1,5,1,직무수행 능력향상
159,1,5,2,자기계발 및 공직관의 변화
159,1,5,3,교육이수시간(의무교육) 취득
159,1,5,4,심신의 재충전
159,1,5,5,기타
159,1,6,1,별 관심없이 듣기만 하였다
159,1,6,2,일부 참여하였다
159,1,6,3,적극 참여하였다
159,1,7,1,직접적으로 관련이 있다
159,1,7,2,간접적으로 관련이 있다
159,1,7,3,관련이 없다
159,1,8,1,매우그렇다
159,1,8,2,그렇다
159,1,8,3,보통이다
159,1,8,4,아니다
159,1,8,5,매우아니다
159,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
159,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
159,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
159,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
159,1,10,1,시 본청
159,1,10,2,구(근)
159,1,10,3,직속기관/사업소
159,1,10,4,기타(공사/ 공단 등)
159,5,1,1,매우만족
159,5,1,2,만족
159,5,1,3,보통
159,5,1,4,불만
159,5,1,5,매우불만
159,5,3,1,매우만족
159,5,3,2,만족
159,5,3,3,보통
159,5,3,4,불만
159,5,3,5,매우불만
159,5,4,1,매우만족
159,5,4,2,만족
159,5,4,3,보통
159,5,4,4,불만
159,5,4,5,매우불만
159,5,5,1,매우만족
159,5,5,2,만족
159,5,5,3,보통
159,5,5,4,불만
159,5,5,5,매우불만
159,5,6,1,매우만족
159,5,6,2,만족
159,5,6,3,보통
159,5,6,4,불만
159,5,6,5,매우불만
159,5,7,1,매우만족
159,5,7,2,만족
159,5,7,3,보통
159,5,7,4,불만
159,5,7,5,매우불만
159,5,9,1,매우만족
159,5,9,2,만족
159,5,9,3,보통
159,5,9,4,불만
159,5,9,5,매우불만
159,5,10,1,매우만족
159,5,10,2,만족
159,5,10,3,보통
159,5,10,4,불만
159,5,10,5,매우불만
159,5,12,1,매우만족
159,5,12,2,만족
159,5,12,3,보통
159,5,12,4,불만
159,5,12,5,매우불만
159,5,13,1,매우만족
159,5,13,2,만족
159,5,13,3,보통
159,5,13,4,불만
159,5,13,5,매우불만
159,5,14,1,매우만족
159,5,14,2,만족
159,5,14,3,보통
159,5,14,4,불만
159,5,14,5,매우불만
159,5,15,1,매우만족
159,5,15,2,만족
159,5,15,3,보통
159,5,15,4,불만
159,5,15,5,매우불만
160,1,1,1,매우만족
160,1,1,2,만족
160,1,1,3,보통
160,1,1,4,불만
160,1,1,5,매우불만
162,1,1,1,매우만족
162,1,1,2,만족
162,1,1,3,보통
162,1,1,4,불만
162,1,1,5,매우불만
163,1,2,1,남
163,1,2,2,여
163,1,3,1,20대
163,1,3,2,30대
163,1,3,3,40대
163,1,3,4,50대
163,1,3,5,60대
163,1,4,1,5년 이하
163,1,4,2,6년~10년
163,1,4,3,11~15년
163,1,4,4,16년 이상
163,1,4,5,해당없음
163,1,5,1,직업과 관련있어서
163,1,5,2,관심사와 관련있어서
163,1,5,3,주변인의 권유
163,1,5,4,시정참여 활동에 필요한 지식 습득
163,1,5,5,기타
163,1,6,1,별 관심없이 듣기만 하였다
163,1,6,2,일부 참여하였다
163,1,6,3,적극 참여하였다
163,1,7,1,직접적으로 관련이 있다
163,1,7,2,간접적으로 관련이 있다
163,1,7,3,관련이 없다
163,1,8,1,매우그렇다
163,1,8,2,그렇다
163,1,8,3,보통이다
163,1,8,4,아니다
163,1,8,5,매우아니다
163,1,9,1,사무직
163,1,9,2,전문직
163,1,9,3,자영업
163,1,9,4,기타
163,1,10,1,본 교육과정에 대해 알고 있고 유사한 교육에 참여한 적이 있다
163,1,10,2,본 교육과정에 대해 알고 있지만 유사한 교육에 참여한 적은 없다
163,1,10,3,본 교육과정에 대해 모르고 있지만 유사한 교육에 참여한 적은 있다
163,1,10,4,본 교육과정에 대해 모르고 있었고 유사한 교육에 참여한 적도 없다
163,5,1,1,매우만족
163,5,1,2,만족
163,5,1,3,보통
163,5,1,4,불만
163,5,1,5,매우불만
163,5,3,1,매우만족
163,5,3,2,만족
163,5,3,3,보통
163,5,3,4,불만
163,5,3,5,매우불만
163,5,4,1,매우만족
163,5,4,2,만족
163,5,4,3,보통
163,5,4,4,불만
163,5,4,5,매우불만
163,5,5,1,매우만족
163,5,5,2,만족
163,5,5,3,보통
163,5,5,4,불만
163,5,5,5,매우불만
163,5,6,1,매우만족
163,5,6,2,만족
163,5,6,3,보통
163,5,6,4,불만
163,5,6,5,매우불만
163,5,7,1,매우만족
163,5,7,2,만족
163,5,7,3,보통
163,5,7,4,불만
163,5,7,5,매우불만
163,5,9,1,매우만족
163,5,9,2,만족
163,5,9,3,보통
163,5,9,4,불만
163,5,9,5,매우불만
163,5,10,1,매우만족
163,5,10,2,만족
163,5,10,3,보통
163,5,10,4,불만
163,5,10,5,매우불만
163,5,12,1,매우만족
163,5,12,2,만족
163,5,12,3,보통
163,5,12,4,불만
163,5,12,5,매우불만
163,5,13,1,매우만족
163,5,13,2,만족
163,5,13,3,보통
163,5,13,4,불만
163,5,13,5,매우불만
163,5,14,1,매우만족
163,5,14,2,만족
163,5,14,3,보통
163,5,14,4,불만
163,5,14,5,매우불만
163,5,15,1,매우만족
163,5,15,2,만족
163,5,15,3,보통
163,5,15,4,불만
163,5,15,5,매우불만
165,1,2,1,남
165,1,2,2,여
165,1,3,1,5급이상
165,1,3,2,6급(상당)
165,1,3,3,7급(상당)
165,1,3,4,8급
165,1,3,5,9급 이하 및 기타
165,1,4,1,5년 이하
165,1,4,2,6년~10년
165,1,4,3,11~15년
165,1,4,4,16년~20년
165,1,4,5,20년 이상
165,1,5,1,직무수행 능력향상
165,1,5,2,자기계발 및 공직관의 변화
165,1,5,3,교육이수시간(의무교육) 취득
165,1,5,4,심신의 재충전
165,1,5,5,기타
165,1,6,1,별 관심없이 듣기만 하였다
165,1,6,2,일부 참여하였다
165,1,6,3,적극 참여하였다
165,1,7,1,직접적으로 관련이 있다
165,1,7,2,간접적으로 관련이 있다
165,1,7,3,관련이 없다
165,1,8,1,매우그렇다
165,1,8,2,그렇다
165,1,8,3,보통이다
165,1,8,4,아니다
165,1,8,5,매우아니다
165,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
165,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
165,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
165,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
165,1,10,1,시 본청
165,1,10,2,구(군)
165,1,10,3,직속기관/사업소
165,1,10,4,기타(공사/ 공단 등)
165,5,1,1,매우만족
165,5,1,2,만족
165,5,1,3,보통
165,5,1,4,불만
165,5,1,5,매우불만
165,5,3,1,매우만족
165,5,3,2,만족
165,5,3,3,보통
165,5,3,4,불만
165,5,3,5,매우불만
165,5,4,1,매우만족
165,5,4,2,만족
165,5,4,3,보통
165,5,4,4,불만
165,5,4,5,매우불만
165,5,5,1,매우만족
165,5,5,2,만족
165,5,5,3,보통
165,5,5,4,불만
165,5,5,5,매우불만
165,5,6,1,매우만족
165,5,6,2,만족
165,5,6,3,보통
165,5,6,4,불만
165,5,6,5,매우불만
165,5,7,1,매우만족
165,5,7,2,만족
165,5,7,3,보통
165,5,7,4,불만
165,5,7,5,매우불만
165,5,9,1,매우만족
165,5,9,2,만족
165,5,9,3,보통
165,5,9,4,불만
165,5,9,5,매우불만
165,5,10,1,매우만족
165,5,10,2,만족
165,5,10,3,보통
165,5,10,4,불만
165,5,10,5,매우불만
165,5,12,1,매우만족
165,5,12,2,만족
165,5,12,3,보통
165,5,12,4,불만
165,5,12,5,매우불만
165,5,13,1,매우만족
165,5,13,2,만족
165,5,13,3,보통
165,5,13,4,불만
165,5,13,5,매우불만
165,5,14,1,매우만족
165,5,14,2,만족
165,5,14,3,보통
165,5,14,4,불만
165,5,14,5,매우불만
165,5,15,1,매우만족
165,5,15,2,만족
165,5,15,3,보통
165,5,15,4,불만
165,5,15,5,매우불만
165,6,1,1,매우만족
165,6,1,2,만족
165,6,1,3,보통
165,6,1,4,불만
165,6,1,5,매우불만
166,1,1,1,매우만족
166,1,1,2,만족
166,1,1,3,보통
166,1,1,4,불만
166,1,1,5,매우불만
167,1,2,1,남
167,1,2,2,여
167,1,3,1,20대
167,1,3,2,30대
167,1,3,3,40대
167,1,3,4,50대
167,1,3,5,60대
167,1,4,1,5년 이하
167,1,4,2,6년~10년
167,1,4,3,11~15년
167,1,4,4,16년 이상
167,1,4,5,해당없음
167,1,5,1,직업과 관련있어서
167,1,5,2,관심사와 관련있어서
167,1,5,3,주변인의 권유
