설문번호,그룹번호,설문문항번호,설문문항
74,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
74,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
74,5,11,교육효과에 관한 만족도 조사입니다.
74,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
74,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
74,5,14,이 과정에 대해 전반적으로 만족하십니까?
74,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
74,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
78,1,1,교과목별 강사만족도 입니다
78,1,2,강의내용
78,1,3,강의스킬
78,1,4,교재
79,1,1,교과목 별 만족도입니다.
79,1,2,강의내용 만족도
79,1,3,강의스킬 만족도
79,1,4,교육자료 만족도
86,1,1,교과목 별 만족도입니다.
86,1,2,강의내용 만족도
86,1,3,강의스킬 만족도
86,1,4,교육자료 만족도
116,1,1,교과목 별 만족도입니다.
116,1,2,강의내용 만족도
116,1,3,강의스킬 만족도
116,1,4,교육자료 만족도
120,1,1,모의과제 실습
120,1,2,모의과제 실습
121,1,1,교육만족도 설문지입니다
121,1,2,성별
121,1,3,연령
121,1,4,근무연수
121,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
121,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
121,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
121,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
121,1,9,직업(퇴직자의 경우 퇴직 전)
121,1,10,교육이력
121,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
121,5,2,교육운영에 관한 만족도 조사입니다.
121,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
121,5,4,이 과정의 교육인원은 적절하였습니까?
121,5,5,이 과정의 교육기간은 적절하였습니까?
121,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
121,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
121,5,8,교육시설 및 환경에 관한 만족도 조사입니다
121,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
121,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
121,5,11,교육효과에 관한 만족도 조사입니다.
121,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
121,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
121,5,14,이 과정에 대해 전반적으로 만족하십니까?
121,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
121,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
122,1,1,교과목 별 만족도입니다.
122,1,2,강의내용 만족도
122,1,3,강의스킬 만족도
122,1,4,교육자료 만족도
125,1,1,교육만족도 설문지입니다
125,1,2,성별
125,1,3,연령
125,1,4,근무연수
125,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
125,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
125,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
125,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
125,1,9,직업(퇴직자의 경우 퇴직 전)
125,1,10,교육이력
125,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
125,5,2,교육운영에 관한 만족도 조사입니다.
125,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
125,5,4,이 과정의 교육인원은 적절하였습니까?
125,5,5,이 과정의 교육기간은 적절하였습니까?
125,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
125,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
125,5,8,교육시설 및 환경에 관한 만족도 조사입니다
125,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
125,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
125,5,11,교육효과에 관한 만족도 조사입니다.
125,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
125,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
125,5,14,이 과정에 대해 전반적으로 만족하십니까?
125,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
125,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
131,1,1,교육만족도 설문지입니다
131,1,2,성별
131,1,3,직급
131,1,4,근무연수
131,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
131,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
131,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
131,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
131,1,9,직렬(직종)
131,1,10,근무처
131,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
131,5,2,교육운영에 관한 만족도 조사입니다.
131,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
131,5,4,이 과정의 교육인원은 적절하였습니까?
131,5,5,이 과정의 교육기간은 적절하였습니까?
131,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
131,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
131,5,8,교육시설 및 환경에 관한 만족도 조사입니다
131,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
131,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
131,5,11,교육효과에 관한 만족도 조사입니다.
131,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
131,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
131,5,14,이 과정에 대해 전반적으로 만족하십니까?
131,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
131,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
132,1,1,교과목 별 만족도입니다.
132,1,2,강의내용 만족도
132,1,3,강의스킬 만족도
132,1,4,교육자료 만족도
132,1,5,강의내용 만족도
132,1,6,강의스킬 만족도
132,1,7,교육자료 만족도
140,1,1,모의과제 실습
140,1,2,모의과제 실습
144,1,1,교과목 별 만족도입니다.
144,1,2,강사는 해당분야의 전문적인 지식을 갖추고 있다
144,1,3,강사는 효과적인 기법으로 강의를 진행하였다
144,1,4,강사는 학습자들과 성실하게 상호작용하였다
158,1,1,퍼실리테이터의 모의과제 실습에 대한 만족도입니다
158,1,2,피드백&코칭
159,1,1,교육만족도 설문지입니다
159,1,2,성별
159,1,3,직급
159,1,4,근무연수
159,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
159,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
159,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
159,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
159,1,9,직렬(직종)
159,1,10,근무처
159,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
159,5,2,교육운영에 관한 만족도 조사입니다.
159,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
159,5,4,이 과정의 교육인원은 적절하였습니까?
159,5,5,이 과정의 교육기간은 적절하였습니까?
159,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
159,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
159,5,8,교육시설 및 환경에 관한 만족도 조사입니다
159,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
159,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
159,5,11,교육효과에 관한 만족도 조사입니다.
159,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
159,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
159,5,14,이 과정에 대해 전반적으로 만족하십니까?
159,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
159,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
160,1,1,교과목 별 만족도입니다.
160,1,2,강의내용 만족도
160,1,3,강의스킬 만족도
160,1,4,교육자료 만족도
162,1,1,교과목 별 만족도입니다.
162,1,2,강의내용 만족도
162,1,3,강의스킬 만족도
162,1,4,교육자료 만족도
163,1,1,교육만족도 설문지입니다
163,1,2,성별
163,1,3,연령
163,1,4,근무연수
163,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
163,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
163,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
163,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
163,1,9,직업(퇴직자의 경우 퇴직 전)
163,1,10,교육이력
163,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
163,5,2,교육운영에 관한 만족도 조사입니다.
163,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
163,5,4,이 과정의 교육인원은 적절하였습니까?
163,5,5,이 과정의 교육기간은 적절하였습니까?
163,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
163,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
163,5,8,교육시설 및 환경에 관한 만족도 조사입니다
163,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
163,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
163,5,11,교육효과에 관한 만족도 조사입니다.
163,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
163,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
163,5,14,이 과정에 대해 전반적으로 만족하십니까?
163,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
163,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
165,1,1,교육만족도 설문지입니다
165,1,2,성별
165,1,3,직급
165,1,4,근무연수
165,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
165,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
165,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
165,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
165,1,9,직렬(직종)
165,1,10,근무처
165,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
165,5,2,교육운영에 관한 만족도 조사입니다.
165,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
165,5,4,이 과정의 교육인원은 적절하였습니까?
165,5,5,이 과정의 교육기간은 적절하였습니까?
165,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
165,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
165,5,8,교육시설 및 환경에 관한 만족도 조사입니다
165,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
165,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
165,5,11,교육효과에 관한 만족도 조사입니다.
165,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
165,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
165,5,14,이 과정에 대해 전반적으로 만족하십니까?
165,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
165,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
165,6,1,교과목별 만족도 조사입니다.
165,6,2,강의내용
165,6,3,강의스킬
165,6,4,교육자료
166,1,1,교과목 별 만족도입니다.
166,1,2,강의내용 만족도
166,1,3,강의스킬 만족도
166,1,4,교육자료 만족도
166,1,6,"교과목 중 좋았던 강의, 아쉬웠던 강의가 있다면 기술해주십시오."
167,1,1,교육만족도 설문지입니다
167,1,2,성별
167,1,3,연령
167,1,4,근무연수
167,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
167,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
167,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
167,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
167,1,9,직업(퇴직자의 경우 퇴직 전)
167,1,10,교육이력
167,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
167,5,2,교육운영에 관한 만족도 조사입니다.
167,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
167,5,4,이 과정의 교육인원은 적절하였습니까?
167,5,5,이 과정의 교육기간은 적절하였습니까?
167,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
167,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
167,5,8,교육시설 및 환경에 관한 만족도 조사입니다
167,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
167,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
167,5,11,교육효과에 관한 만족도 조사입니다.
167,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
167,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
167,5,14,이 과정에 대해 전반적으로 만족하십니까?
167,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
167,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
167,6,1,교과목 별 만족도입니다
167,6,2,강의내용
167,6,3,강의스킬
167,6,4,교육자료
168,1,1,교과목 별 만족도입니다.
168,1,2,강의내용 만족도
168,1,3,강의스킬 만족도
168,1,4,교육자료 만족도
168,1,6,"교과목 중 좋았던 강의, 아쉬웠던 강의가 있다면 기술해주십시오."
169,1,1,교과목 별 만족도입니다.
169,1,2,강의내용 만족도
169,1,3,강의스킬 만족도
169,1,4,교육자료 만족도
169,1,6,"오늘 강의 중 좋았던 강의, 아쉬웠던 강의가 있다면 기술해주십시오."
170,1,1,교육만족도 설문지입니다
170,1,2,성별
170,1,3,연령
170,1,4,근무연수
170,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
170,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
170,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
170,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
170,1,9,직업(퇴직자의 경우 퇴직 전)
170,1,10,교육이력
170,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
170,5,2,교육운영에 관한 만족도 조사입니다.
170,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
170,5,4,이 과정의 교육인원은 적절하였습니까?
170,5,5,이 과정의 교육기간은 적절하였습니까?
170,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
170,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
170,5,8,교육시설 및 환경에 관한 만족도 조사입니다
170,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
170,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
170,5,11,교육효과에 관한 만족도 조사입니다.
170,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
170,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
170,5,14,이 과정에 대해 전반적으로 만족하십니까?
170,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
170,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
170,6,1,교과목 별 만족도입니다
170,6,2,강의내용
170,6,3,강의스킬
170,6,4,교육자료
212,1,1,교육만족도 설문지입니다
212,1,2,성별
212,1,3,직급
212,1,4,근무연수
212,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
212,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
212,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
212,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
212,1,9,직렬(직종)
212,1,10,근무처
212,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
212,5,2,교육운영에 관한 만족도 조사입니다.
212,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
212,5,4,이 과정의 교육인원은 적절하였습니까?
212,5,5,이 과정의 교육기간은 적절하였습니까?
212,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
212,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
212,5,11,교육효과에 관한 만족도 조사입니다.
212,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
212,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
212,5,14,이 과정에 대해 전반적으로 만족하십니까?
212,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
212,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
212,6,1,교과목별 만족도 조사입니다.
212,6,2,강의내용
212,6,3,강의스킬
212,6,4,교육자료
212,7,1,전반적으로 실시간 온라인 교육이 기존 집합교육과 비교해 효과가 있었습니까?
212,7,2,실시간 온라인 교육 중 교육에만 집중할 수 있도록 주변환경이 조성되었습니까?
212,7,3,실시간 온라인 교육에 대한 만족도입니다.
212,7,4,실시간 온라인 교육이 집합교육보다 집중도가 높았습니까?
212,7,5,"실시간 온라인 교육이 효과적인 수업방법(교안, 교재, 내용)으로 진행되어 집합교육보다 수업의 질이 더 높았습니까?"
212,7,6,실시간 온라인 교육이 강사와 소통(질문)하기 더 쉬웠습니까?
212,7,7,시스템에 접속하는데 어려움은 없었습니까?
212,7,8,실시간 온라인 교육은 원활히 진행되었다고 생각하십니까?
212,7,9,실시간 온라인 교육에서 개선되어야 할 점은 무엇이라고 생각하십니까?(중복가능)
212,7,10,본 교육과정에 적합한 강의 형태는 무엇이라고 생각하십니까?
212,7,11,실시간 온라인 교육의 수업시간(길이)은 적절하였습니까?
212,7,12,[용어 안내]⊙ 집합교육: 기존 인재개발원 교육⊙ 이러닝: 녹화된 교육(예: 나라배움터)⊙ 실시간 온라인 교육: 정해진 시간에 강사와 실시간으로 진행하는 교육
302,1,1,교육만족도 설문지입니다
302,1,2,성별
302,1,3,직급
302,1,4,근무연수
302,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
302,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
302,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
302,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
302,1,9,직렬(직종)
302,1,10,근무처
302,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
302,5,2,교육운영에 관한 만족도 조사입니다.
302,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
302,5,4,이 과정의 교육인원은 적절하였습니까?
302,5,5,이 과정의 교육기간은 적절하였습니까?
302,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
302,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
302,5,11,교육효과에 관한 만족도 조사입니다.
302,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
302,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
302,5,14,이 과정에 대해 전반적으로 만족하십니까?
302,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
302,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
302,6,1,교과목별 만족도 조사입니다.
302,6,2,강의내용
302,6,3,강의스킬
302,6,4,교육자료
302,6,5,교과목별 만족도 조사입니다.
302,6,6,강의내용
302,6,7,강의스킬
302,6,8,교육자료
302,7,1,전반적으로 실시간 온라인 교육이 기존 집합교육과 비교해 효과가 있었습니까?
302,7,2,실시간 온라인 교육 중 교육에만 집중할 수 있도록 주변환경이 조성되었습니까?
302,7,3,실시간 온라인 교육에 대한 만족도입니다.
302,7,4,실시간 온라인 교육이 집합교육보다 집중도가 높았습니까?
